AQI.Value,AQI.Category,CO.AQI.Value,CO.AQI.Category,Ozone.AQI.Value,Ozone.AQI.Category,NO2.AQI.Value,NO2.AQI.Category,PM2.5.AQI.Value,PM2.5.AQI.Category
157,4,0,1,31,1,1,1,157,4
73,2,1,1,32,1,2,1,73,2
71,2,2,1,3,1,6,1,71,2
17,1,0,1,17,1,0,1,11,1
46,1,1,1,2,1,0,1,46,1
35,1,1,1,12,1,9,1,35,1
24,1,0,1,24,1,1,1,16,1
45,1,1,1,14,1,2,1,45,1
61,2,1,1,40,1,0,1,61,2
65,2,1,1,12,1,6,1,65,2
112,3,1,1,34,1,4,1,112,3
19,1,0,1,19,1,0,1,11,1
31,1,0,1,31,1,2,1,22,1
152,4,4,1,4,1,19,1,152,4
31,1,1,1,21,1,1,1,31,1
37,1,1,1,12,1,1,1,37,1
13,1,1,1,12,1,0,1,13,1
41,1,1,1,8,1,3,1,41,1
103,3,2,1,28,1,9,1,103,3
52,2,1,1,35,1,0,1,52,2
30,1,0,1,30,1,2,1,13,1
73,2,0,1,25,1,0,1,73,2
42,1,1,1,2,1,4,1,42,1
35,1,0,1,35,1,0,1,30,1
46,1,1,1,25,1,5,1,46,1
93,2,1,1,27,1,4,1,93,2
63,2,2,1,13,1,0,1,63,2
160,4,0,1,39,1,0,1,160,4
39,1,1,1,26,1,1,1,39,1
56,2,1,1,18,1,6,1,56,2
105,3,2,1,13,1,2,1,105,3
93,2,2,1,90,2,1,1,93,2
45,1,0,1,22,1,0,1,45,1
54,2,1,1,8,1,1,1,54,2
36,1,0,1,29,1,2,1,36,1
50,1,1,1,35,1,5,1,50,1
153,4,1,1,34,1,0,1,153,4
48,1,1,1,36,1,5,1,48,1
24,1,0,1,24,1,0,1,24,1
132,3,3,1,44,1,4,1,132,3
179,4,3,1,179,4,2,1,166,4
124,3,1,1,36,1,1,1,124,3
202,5,0,1,34,1,0,1,202,5
151,4,1,1,26,1,1,1,151,4
92,2,2,1,45,1,0,1,92,2
39,1,1,1,5,1,0,1,39,1
48,1,1,1,39,1,1,1,48,1
52,2,2,1,17,1,0,1,52,2
104,3,1,1,16,1,2,1,104,3
51,2,1,1,27,1,1,1,51,2
91,2,1,1,49,1,0,1,91,2
167,4,1,1,32,1,0,1,167,4
38,1,0,1,20,1,0,1,38,1
57,2,0,1,25,1,0,1,57,2
41,1,1,1,27,1,5,1,41,1
78,2,1,1,11,1,12,1,78,2
47,1,1,1,46,1,2,1,47,1
29,1,0,1,29,1,3,1,18,1
60,2,1,1,34,1,1,1,60,2
37,1,1,1,32,1,3,1,37,1
61,2,2,1,2,1,9,1,61,2
67,2,2,1,20,1,5,1,67,2
46,1,1,1,17,1,2,1,46,1
79,2,2,1,13,1,27,1,79,2
53,2,1,1,24,1,9,1,53,2
81,2,1,1,18,1,0,1,81,2
39,1,1,1,38,1,2,1,39,1
34,1,1,1,34,1,2,1,27,1
42,1,1,1,41,1,0,1,42,1
41,1,2,1,36,1,5,1,41,1
47,1,1,1,36,1,0,1,47,1
32,1,1,1,27,1,4,1,32,1
25,1,0,1,6,1,1,1,25,1
35,1,1,1,35,1,0,1,15,1
36,1,1,1,26,1,3,1,36,1
73,2,2,1,26,1,7,1,73,2
52,2,1,1,22,1,11,1,52,2
35,1,1,1,32,1,1,1,35,1
94,2,3,1,9,1,11,1,94,2
71,2,3,1,18,1,0,1,71,2
61,2,2,1,3,1,5,1,61,2
80,2,2,1,22,1,1,1,80,2
101,3,1,1,60,2,0,1,101,3
48,1,1,1,45,1,0,1,48,1
156,4,1,1,33,1,0,1,156,4
30,1,0,1,28,1,0,1,30,1
27,1,0,1,27,1,0,1,10,1
57,2,0,1,30,1,0,1,57,2
55,2,1,1,20,1,0,1,55,2
54,2,1,1,35,1,0,1,54,2
69,2,1,1,45,1,4,1,69,2
76,2,3,1,32,1,2,1,76,2
74,2,3,1,29,1,2,1,74,2
36,1,1,1,2,1,0,1,36,1
51,2,1,1,7,1,4,1,51,2
41,1,1,1,18,1,1,1,41,1
56,2,1,1,44,1,4,1,56,2
